task,difficulty,negativeControl,experiment,condition,repetition,acceptance,editRounds,editRejections,modelMs,inputTokens,outputTokens,trialAttempt,servingProviders,modelFailure
"page-boundary","easy","false","review","baseline","1","passed","1","0","5076","777","665","1","BaseTen","false"
"page-boundary","easy","false","editing","native","1","passed","1","0","2793","327","214","1","BaseTen","false"
"page-boundary","easy","false","review","skill","1","passed","1","0","5721","1331","573","1","Parasail","false"
"page-boundary","easy","false","editing","anchored","1","passed","1","0","3320","388","209","1","Parasail","false"
"explicit-zero","easy","false","review","skill","1","passed","1","0","3547","1290","317","1","Parasail","false"
"explicit-zero","easy","false","editing","anchored","1","passed","1","0","1304","368","164","1","BaseTen","false"
"explicit-zero","easy","false","review","baseline","1","passed","1","0","2218","722","220","1","BaseTen; Parasail","false"
"explicit-zero","easy","false","editing","native","1","passed","1","0","7807","319","522","1","Parasail","false"
"caller-migration","medium","false","review","baseline","1","passed","1","0","5009","1230","495","1","Parasail","false"
"caller-migration","medium","false","editing","native","1","passed","1","0","1826","528","169","1","Parasail","false"
"caller-migration","medium","false","review","skill","1","passed","1","0","8377","1822","602","1","Parasail","false"
"caller-migration","medium","false","editing","anchored","1","passed","1","0","4512","676","301","1","Parasail","false"
"path-boundary","easy","false","review","skill","1","passed","1","0","4687","1402","471","1","Parasail","false"
"path-boundary","easy","false","editing","anchored","1","passed","1","0","1466","352","171","1","Parasail","false"
"path-boundary","easy","false","review","baseline","1","passed","1","0","4346","776","396","1","Parasail","false"
"path-boundary","easy","false","editing","native","1","passed","1","0","1368","319","137","1","Parasail","false"
"stale-check","medium","false","review","baseline","1","passed","1","0","105827","1007","2938","1","Parasail; BaseTen","false"
"stale-check","medium","false","editing","native","1","passed","1","0","3604","457","316","1","Parasail","false"
"stale-check","medium","false","review","skill","1","passed","1","0","6458","1742","881","1","Parasail; BaseTen","false"
"stale-check","medium","false","editing","anchored","1","passed","1","0","2189","555","336","1","Parasail","false"
"browser-persistence","medium","false","review","skill","1","passed","1","0","5968","1783","667","1","Parasail","false"
"browser-persistence","medium","false","editing","anchored","1","passed","1","0","2036","688","307","1","Parasail","false"
"browser-persistence","medium","false","review","baseline","1","passed","1","0","4271","1226","484","1","Parasail","false"
"browser-persistence","medium","false","editing","native","1","passed","1","0","2094","505","302","1","Parasail","false"
"existing-reuse","easy","false","review","baseline","1","passed","1","0","5649","1148","288","1","Parasail","false"
"existing-reuse","easy","false","editing","native","1","passed","1","0","970","511","113","1","Parasail","false"
"existing-reuse","easy","false","review","skill","1","passed","1","0","5385","1722","369","1","Parasail","false"
"existing-reuse","easy","false","editing","anchored","1","failed","2","1","5516","1351","444","1","Parasail","false"
"intentional-interface","easy","true","review","skill","1","passed","1","0","3315","1376","142","1","Parasail","false"
"intentional-interface","easy","true","editing","anchored","1","passed","1","0","463","571","25","1","Parasail","false"
"intentional-interface","easy","true","review","baseline","1","passed","1","0","1838","823","119","1","Parasail","false"
"intentional-interface","easy","true","editing","native","1","passed","1","0","961","418","85","1","Parasail","false"
"unicode-tail","easy","false","review","baseline","1","passed","1","0","8521","888","758","1","Parasail","false"
"unicode-tail","easy","false","editing","native","1","passed","1","0","4004","333","407","1","Parasail","false"
"unicode-tail","easy","false","review","skill","1","passed","1","0","12084","1422","762","1","Parasail; BaseTen","false"
"unicode-tail","easy","false","editing","anchored","1","passed","1","0","4045","378","353","2","BaseTen","false"
"stable-sort","easy","false","review","skill","1","passed","1","0","4814","1330","291","1","Parasail; BaseTen","false"
"stable-sort","easy","false","editing","anchored","1","passed","1","0","1389","373","156","1","BaseTen","false"
"stable-sort","easy","false","review","baseline","1","passed","1","0","3069","792","241","1","BaseTen","false"
"stable-sort","easy","false","editing","native","1","passed","1","0","2809","330","131","1","Parasail","false"
"csv-record","medium","false","review","baseline","1","passed","1","0","8585","691","520","1","Parasail","false"
"csv-record","medium","false","editing","native","1","passed","1","0","5496","353","983","1","BaseTen","false"
"csv-record","medium","false","review","skill","1","passed","1","0","9570","1443","656","1","Parasail; BaseTen","false"
"csv-record","medium","false","editing","anchored","1","passed","1","0","3253","386","538","1","BaseTen","false"
"config-precedence","easy","true","review","skill","1","passed","1","0","4427","1291","196","1","BaseTen; Morph","false"
"config-precedence","easy","true","editing","anchored","1","passed","1","0","3276","437","125","1","Parasail","false"
"config-precedence","easy","true","review","baseline","1","passed","1","0","3203","743","188","1","Parasail","false"
"config-precedence","easy","true","editing","native","1","passed","1","0","3601","378","112","1","Parasail","false"
