task,difficulty,negativeControl,experiment,condition,repetition,acceptance,editRounds,editRejections,modelMs,inputTokens,outputTokens
"page-boundary","easy","false","review","baseline","1","passed","1","0","18269","35112","238"
"page-boundary","easy","false","review","skill","1","passed","1","0","22874","35690","311"
"explicit-zero","easy","false","review","skill","1","passed","1","0","17833","31261","243"
"explicit-zero","easy","false","review","baseline","1","passed","1","0","14579","30685","168"
"caller-migration","medium","false","review","baseline","1","passed","1","0","23572","31221","407"
"caller-migration","medium","false","review","skill","1","passed","1","0","23246","31705","446"
"path-boundary","easy","false","review","skill","1","passed","1","0","17665","31255","251"
"path-boundary","easy","false","review","baseline","1","passed","1","0","17435","30681","167"
"stale-check","medium","false","review","baseline","1","passed","1","0","19686","30958","314"
"stale-check","medium","false","review","skill","1","passed","1","0","19845","31527","357"
"browser-persistence","medium","false","review","skill","1","passed","1","0","25547","31704","506"
"browser-persistence","medium","false","review","baseline","1","passed","1","0","23504","31135","455"
"existing-reuse","easy","false","review","baseline","1","passed","1","0","16037","31065","234"
"existing-reuse","easy","false","review","skill","1","passed","1","0","19368","31623","327"
"intentional-interface","easy","true","review","skill","1","passed","1","0","14203","31370","162"
"intentional-interface","easy","true","review","baseline","1","passed","1","0","12786","30815","90"
"unicode-tail","easy","false","review","baseline","1","passed","1","0","22250","30789","422"
"unicode-tail","easy","false","review","skill","1","passed","1","0","25528","31363","481"
"stable-sort","easy","false","review","skill","1","passed","1","0","18330","31304","303"
"stable-sort","easy","false","review","baseline","1","passed","1","0","18010","30739","221"
"csv-record","medium","false","review","baseline","1","passed","1","0","36988","30852","813"
"csv-record","medium","false","review","skill","1","passed","1","0","35533","31459","856"
"config-precedence","easy","true","review","skill","1","passed","1","0","16977","31278","174"
"config-precedence","easy","true","review","baseline","1","passed","1","0","14562","30723","122"
"ttl-cache","medium","true","review","baseline","1","passed","1","0","17250","30849","180"
"ttl-cache","medium","true","review","skill","1","passed","1","0","18297","31404","223"
"inflight-invalidation","hard","false","review","skill","1","passed","1","0","27767","32035","531"
"inflight-invalidation","hard","false","review","baseline","1","passed","1","0","23237","31465","429"
"once-reentrancy","medium","false","review","baseline","1","passed","1","0","29315","31184","615"
"once-reentrancy","medium","false","review","skill","1","passed","1","0","31350","31783","705"
"bounded-map","hard","false","review","skill","1","passed","1","0","56872","31610","1013"
"bounded-map","hard","false","review","baseline","1","passed","1","0","43443","31029","911"
"abort-retry","hard","false","review","baseline","1","passed","1","0","40414","31057","1018"
"abort-retry","hard","false","review","skill","1","passed","1","0","50742","31668","1241"
"transaction-rollback","hard","false","review","skill","1","passed","1","0","35072","32158","805"
"transaction-rollback","hard","false","review","baseline","1","passed","1","0","28265","31508","625"
"schema-migration","medium","false","review","baseline","1","passed","1","0","38571","31063","807"
"schema-migration","medium","false","review","skill","1","passed","1","0","37583","31592","794"
"canonical-key","medium","false","review","skill","1","passed","1","0","29685","31543","620"
"canonical-key","medium","false","review","baseline","1","passed","1","0","40268","30976","657"
"pagination-merge","medium","false","review","baseline","1","passed","1","0","27593","31187","579"
"pagination-merge","medium","false","review","skill","1","passed","1","0","30919","31826","668"
"archive-boundary","medium","false","review","skill","1","passed","1","0","35562","31577","775"
