task,difficulty,negativeControl,experiment,condition,repetition,acceptance,editRounds,editRejections,modelMs,inputTokens,outputTokens,trialAttempt,servingProviders,modelFailure
"page-boundary","easy","false","review","baseline","1","passed","1","0","9077","788","1315","1","Parasail","false"
"page-boundary","easy","false","editing","native","1","passed","1","0","4605","347","584","1","Parasail","false"
"page-boundary","easy","false","review","skill","1","passed","1","0","23654","1359","3754","1","Parasail","false"
"page-boundary","easy","false","editing","anchored","1","passed","1","0","7598","412","1110","1","Parasail","false"
"explicit-zero","easy","false","review","skill","1","passed","1","0","11617","1421","1720","1","Parasail","false"
"explicit-zero","easy","false","editing","anchored","1","passed","1","0","6102","398","762","1","Parasail","false"
"explicit-zero","easy","false","review","baseline","1","passed","1","0","9543","805","1244","1","Parasail","false"
"explicit-zero","easy","false","editing","native","1","passed","1","0","3609","344","456","1","Parasail","false"
"caller-migration","medium","false","review","baseline","1","passed","1","0","20961","1383","2827","1","Parasail","false"
"caller-migration","medium","false","editing","native","1","passed","1","0","15618","545","2433","1","Parasail","false"
"caller-migration","medium","false","review","skill","1","passed","1","0","29752","1940","4675","1","Parasail","false"
"caller-migration","medium","false","editing","anchored","1","passed","1","0","9279","696","1498","1","Parasail","false"
"path-boundary","easy","false","review","skill","1","passed","1","0","33104","1339","4554","1","Parasail","false"
"path-boundary","easy","false","editing","anchored","1","failed","1","0","104909","375","16384","1","Parasail","true"
"path-boundary","easy","false","review","baseline","1","passed","1","0","24463","780","3516","1","Parasail","false"
"path-boundary","easy","false","editing","native","1","passed","1","0","11789","340","1716","1","Parasail","false"
"stale-check","medium","false","review","baseline","1","passed","1","0","56098","1199","6994","1","Parasail","false"
"stale-check","medium","false","editing","native","1","passed","1","0","23649","478","3587","1","Parasail","false"
"stale-check","medium","false","review","skill","1","passed","1","0","39632","1663","6119","1","Parasail","false"
"stale-check","medium","false","editing","anchored","1","passed","1","0","40671","581","5219","1","Parasail","false"
"browser-persistence","medium","false","review","skill","1","passed","1","0","52254","1845","8352","1","Parasail","false"
"browser-persistence","medium","false","editing","anchored","1","passed","1","0","20699","744","2606","1","Parasail","false"
"browser-persistence","medium","false","review","baseline","1","passed","1","0","22812","1283","3045","1","Parasail","false"
"browser-persistence","medium","false","editing","native","1","passed","1","0","24340","541","3913","1","Parasail","false"
"existing-reuse","easy","false","review","baseline","1","passed","1","0","16874","1203","1550","1","Parasail","false"
"existing-reuse","easy","false","editing","native","1","passed","1","0","11673","531","1718","1","Parasail","false"
"existing-reuse","easy","false","review","skill","1","passed","1","0","33275","1682","4883","1","Parasail","false"
"existing-reuse","easy","false","editing","anchored","1","passed","1","0","5434","672","883","1","Parasail","false"
"intentional-interface","easy","true","review","skill","1","passed","1","0","25419","1443","3861","1","Parasail","false"
"intentional-interface","easy","true","editing","anchored","1","passed","1","0","3084","608","426","1","Parasail","false"
"intentional-interface","easy","true","review","baseline","1","passed","1","0","9287","884","806","1","Parasail","false"
"intentional-interface","easy","true","editing","native","1","passed","1","0","2043","449","297","1","Parasail","false"
"unicode-tail","easy","false","review","baseline","1","passed","1","0","95631","971","10653","1","Parasail","false"
"unicode-tail","easy","false","editing","native","1","passed","1","0","50989","353","5935","1","Parasail","false"
"unicode-tail","easy","false","review","skill","1","passed","1","0","56613","1381","6388","1","Parasail","false"
"unicode-tail","easy","false","editing","anchored","1","passed","1","0","31659","400","3956","1","Parasail","false"
"stable-sort","easy","false","review","skill","1","passed","1","0","31194","1378","4260","1","Parasail","false"
"stable-sort","easy","false","editing","anchored","1","passed","1","0","8450","397","1261","1","Parasail","false"
"stable-sort","easy","false","review","baseline","1","passed","1","0","24727","815","3368","1","Parasail","false"
"stable-sort","easy","false","editing","native","1","passed","1","0","14169","352","1944","1","Parasail","false"
"csv-record","medium","false","review","baseline","1","passed","1","0","82484","1282","12005","1","Parasail","false"
"csv-record","medium","false","editing","native","1","passed","1","0","56742","375","9746","1","Parasail","false"
"csv-record","medium","false","review","skill","1","passed","1","0","130146","1767","16720","1","Parasail","false"
"csv-record","medium","false","editing","anchored","1","passed","1","0","83221","410","10920","1","Parasail","false"
"config-precedence","easy","true","review","skill","1","passed","1","0","23547","1343","3314","1","Parasail","false"
"config-precedence","easy","true","editing","anchored","1","passed","1","0","6551","461","714","1","Parasail","false"
"config-precedence","easy","true","review","baseline","1","passed","1","0","12219","784","1300","1","Parasail","false"
"config-precedence","easy","true","editing","native","1","passed","1","0","2962","399","336","1","Parasail","false"
"ttl-cache","medium","true","review","baseline","1","passed","1","0","36439","922","4103","1","Parasail","false"
"ttl-cache","medium","true","editing","native","1","passed","1","0","15432","468","1413","1","Parasail","false"
"ttl-cache","medium","true","review","skill","1","passed","1","0","96737","1481","4111","2","Parasail","false"
"ttl-cache","medium","true","editing","anchored","1","passed","1","0","36752","621","3543","1","Parasail","false"
"inflight-invalidation","hard","false","review","skill","1","passed","1","0","208149","2179","16355","2","Parasail","false"
"inflight-invalidation","hard","false","editing","anchored","1","passed","1","0","128915","1011","13261","1","Parasail","false"
"inflight-invalidation","hard","false","review","baseline","1","passed","1","0","172962","1694","18750","1","Parasail","false"
"inflight-invalidation","hard","false","editing","native","1","passed","1","0","152755","723","16017","1","Parasail","false"
"once-reentrancy","medium","false","review","baseline","1","failed","1","0","183335","1445","24329","1","Parasail","true"
"once-reentrancy","medium","false","editing","native","1","failed","1","0","119276","551","16384","1","Parasail","true"
"once-reentrancy","medium","false","review","skill","1","passed","1","0","102240","1848","14049","1","Parasail","false"
"once-reentrancy","medium","false","editing","anchored","1","passed","1","0","142279","762","12315","1","Parasail","false"
"bounded-map","hard","false","review","skill","1","passed","1","0","113459","1694","15038","2","Parasail","false"
"bounded-map","hard","false","editing","anchored","1","passed","1","0","66874","532","8811","1","Parasail","false"
"bounded-map","hard","false","review","baseline","1","passed","1","0","106816","1307","14043","1","Parasail","false"
